Genre,GenreLemma,Cluster,UMAP0,UMAP1
computer animated,computer animate,1,0.8644093,6.0478644
computer animation,computer animation,1,0.60648745,6.0616884
costume action,costume action,1,-0.86582583,5.9459696
costume comedy,costume comedy,1,-0.56165457,5.3638783
costume drama,costume drama,1,-0.77824473,5.7697053
costume fantasy,costume fantasy,1,-0.75543475,6.603475
crime comedy,crime comedy,1,-0.21448451,5.3325725
crime drama,crime drama,1,0.04025869,5.878625
crime fiction,crime fiction,1,-0.13348395,5.9996057
crime melodrama,crime melodrama,1,-1.2248507,5.5117188
crime mystery,crime mystery,1,-0.10285326,6.0321503
crime romance,crime romance,1,-0.26840493,6.320851
crime social drama,crime social drama,1,-1.024944,4.836837
crime social romance,crime social romance,1,-0.8813103,4.7871737
crime ttriller,crime ttriller,1,0.1238501,5.1252127
cult drama,cult drama,1,0.41079667,5.9808884
dance drama,dance drama,1,-0.6628026,5.8137045
docufiction drama,docufiction drama,1,-0.7748344,5.7041507
documentary drama,documentary drama,1,-1.0439919,5.624836
drama anthology,drama anthology,1,-0.13979329,5.44022
drama documentary,drama documentary,1,-0.8991778,5.6495924
drama family,drama family,1,-0.8442988,5.0922074
famil drama,famil drama,1,-0.15936032,5.7426276
family adventure,family adventure,1,-0.09914627,6.406906
family comedy,family comedy,1,-0.008298487,5.110096
family drama,family drama,1,0.2950692,5.9253654
family melodrama,family melodrama,1,-0.48876876,5.7005334
family romance,family romance,1,-0.0491507,6.456604
family social drama,family social drama,1,-0.8415071,4.9203167
feature animation,feature animation,1,0.51302594,6.07848
gangster drama,gangster drama,1,0.16278669,5.0969987
hockey drama,hockey drama,1,-0.4830709,5.82361
holocaust melodrama,holocaust melodrama,1,-1.2808533,5.4870815
horror comedy,horror comedy,1,-0.57181406,5.2753983
horror drama,horror drama,1,-0.5883865,5.734242
horror mystery,horror mystery,1,-0.36334124,6.054751
horror spoof,horror spoof,1,-0.8066803,5.179841
huangmei opera,huangmei opera,1,0.77194506,5.563109
inuit drama,inuit drama,1,0.53849924,4.8624578
korean war,korean war,1,0.83566654,5.240366
kungfu triad,kungfu triad,1,0.20769255,4.898181
liberation war,liberation war,1,-0.10135629,5.9365797
love story,love story,1,0.17853738,6.2355747
malyana emergency adventure,malyana emergency adventure,1,0.0337553,6.2143435
mockumentary comedy,mockumentary comedy,1,-0.6280408,5.2757955
modern day passion play,modern day passion play,1,0.117732435,6.2731996
murder mystery,murder mystery,1,-0.27753314,5.9805546
mystery adventure,mystery adventure,1,-0.36631313,6.3263745
mystery comedy,mystery comedy,1,-0.4445999,5.231574
mystery drama,mystery drama,1,-0.41341564,5.666003
mythology legend,mythology legend,1,-0.32381678,6.255351
nationalboard docudrama,nationalboard docudrama,1,0.8223557,5.7788363
nationalboard documentary,nationalboard documentary,1,0.7860303,5.795718
nature documentary,nature documentary,1,0.88802844,5.8036475
occult drama,occult drama,1,0.3743378,6.0346932
period comedy,period comedy,1,0.052980512,5.095994
period costume,period costume,1,0.044406235,6.4063864
period drama,period drama,1,0.0606931,6.0060077
period piece,period piece,1,0.14972542,6.3264074
period romance,period romance,1,-0.012320439,6.421035
police drama,police drama,1,0.30578387,5.857565
portmanteau horror,portmanteau horror,1,-0.6453569,4.616455
pow comedy,pow comedy,1,-0.409391,5.142805
prison drama,prison drama,1,0.33250955,5.9174304
reincarnation drama,reincarnation drama,1,0.6159663,5.980729
reincarnation romance,reincarnation romance,1,-0.5062858,6.645685
road movie,road movie,1,0.50087756,6.0331426
rom-com crime,rom-com crime,1,-0.2291888,4.9311857
romance action,romance action,1,-0.94380105,5.800847
romance drama,romance drama,1,-1.2326818,5.4464993
satire drama,satire drama,1,-0.012919982,5.7609696
science fantasy,science fantasy,1,-0.72161794,6.615122
screwball comedy,screwball comedy,1,-0.50006866,5.1597767
sex comedy,sex comedy,1,-0.12150912,5.017423
slapstick comedy,slapstick comedy,1,-0.4001931,5.1011405
space opera,space opera,1,0.7856008,5.9555664
splatter comedy,splatter comedy,1,-0.41301274,5.486033
sports comedy,sport comedy,1,-0.625907,5.3534994
sports drama,sport drama,1,-0.6138604,5.770633
sport drama,sport drama,1,-0.5885749,5.824476
spy anthology,spy anthology,1,-0.10920107,4.902665
summer camp comedy,summer camp comedy,1,-0.039118346,5.544718
superhero comedy,superhero comedy,1,-0.22413594,4.713596
television drama,television drama,1,-0.59066457,5.8555036
thai boxing drama,thai boxing drama,1,0.30391568,5.617568
thriller travelogue,thriller travelogue,1,0.871971,5.7684965
time travel,time travel,1,-0.4290287,6.0907717
tokusatsu v-cinema,tokusatsu v-cinema,1,1.1886699,5.0241647
war comedy,war comedy,1,-0.040463164,5.5147653
war documentary,war documentary,1,0.8332596,5.738843
war drama,war drama,1,0.1719955,5.8609886
war drama propaganda,war drama propaganda,1,-0.46472412,5.768522
war propaganda,war propaganda,1,-0.05313668,5.7991123
war romance,war romance,1,-0.17285034,6.1672506
war spy,war spy,1,-0.022174235,5.9296875
wartime drama,wartime drama,1,-0.21948862,5.781181
worldwar i drama,worldwar i drama,1,1.0207253,5.605757
youth drama,youth drama,1,-0.5017085,5.7510734
youth music drama,youth music drama,1,-0.9937421,4.941859
adult,adult,2,6.6330233,1.6357197
ali,ali,2,7.4424124,1.797045
animated,animate,2,6.177112,1.7045989
asin,asin,2,6.252565,1.6388627
biblical,biblical,2,6.3914986,2.5761719
biographic,biographic,2,6.5333595,2.7132885
biographical,biographical,2,6.480686,2.6875122
christian,christian,2,6.6624126,2.4130657
cult,cult,2,6.714277,1.5700173
cultural,cultural,2,6.176838,1.7167989
devotional,devotional,2,6.6881137,2.523243
educational,educational,2,6.535466,2.6564941
environmental,environmental,2,6.4398036,2.5801587
epic,epic,2,6.8274026,2.5040576
epic-historical,epic-historical,2,5.938734,2.9306397
erotic,erotic,2,6.6419964,2.6419342
experimental,experimental,2,6.558436,2.358068
historic,historic,2,6.141024,1.73185
historical,historical,2,6.614577,2.5151327
homosexual,homosexual,2,6.5397053,2.6744964
human rights,human right,2,6.147332,1.8009927
independent,independent,2,6.227832,1.8011295
international,international,2,6.225735,1.7165079
investigative,investigative,2,7.1293497,2.6521275
military,military,2,6.3275375,1.7122679
musical,musical,2,6.4516973,2.5395799
mythological,mythological,2,6.391432,2.731761
patriotic,patriotic,2,6.5644655,2.7116926
perodic,perodic,2,7.2018995,2.6163132
political,political,2,6.2223673,1.7561221
post-apocalyptic,post-apocalyptic,2,6.125407,2.860437
religious,religious,2,6.2672744,1.7835702
romantic,romantic,2,6.7135015,2.636741
serial,serial,2,6.5248733,1.8030363
sexual,sexual,2,6.3983326,1.8511848
shakespearean,shakespearean,2,6.5000033,2.6199007
short,short,2,6.1662297,1.7499945
social,social,2,6.1874456,1.7286762
socio-political,socio-political,2,6.1198206,2.851552
stylish,stylish,2,6.5697737,2.760376
supernatural,supernatural,2,6.705665,2.3430846
teen,teen,2,6.228408,1.7926322
triad,triad,2,6.678785,2.5516198
unknown,unknown,2,6.3688393,1.8377545
vampire,vampire,2,6.921486,2.2859914
western,western,2,6.1219697,1.7323967
zombie,zombie,2,7.005424,2.342629
 worldwar i, worldwar i,3,2.5871809,5.746065
 worldwar ii, worldwar ii,3,2.797365,5.6757436
action romantic,action romantic,3,2.525802,4.8465877
action western,action western,3,2.4504511,5.320677
adventure serial,adventure serial,3,2.3163064,5.3308244
animated short,animate short,3,2.5375266,4.5574756
animated short ,animate short,3,2.597647,4.6986184
animated musical,animated musical,3,2.7207417,4.8059173
animation musical,animation musical,3,2.1813807,4.863298
anime martial arts,anime martial art,3,1.7993146,5.347449
australian western,australian western,3,2.8780403,5.171335
avant-garde,avant-garde,3,2.995581,5.2252364
cartoon short,cartoon short,3,1.8260499,4.795897
children's,child's,3,2.4628687,4.9835935
classic muslim social,classic muslim social,3,2.7907393,5.150666
comedy 2-reeler,comedy 2-reeler,3,1.52881,5.358856
comedy short,comedy short,3,1.9003882,4.8678665
comedy western,comedy western,3,1.9483578,5.615788
computer-animated,computer-animate,3,2.5612197,4.495712
crime biographical,crime biographical,3,1.8853428,4.8696184
crime musical,crime musical,3,2.0736513,5.012076
crime western,crime western,3,2.176334,5.2168136
devotional biographical,devotional biographical,3,2.612785,3.717826
devotional-biographical,devotional-biographical,3,2.8210309,3.9485853
documentary short,documentary short,3,1.7856305,4.7599225
drama romance musical,drama romance musical,3,2.1626482,5.482061
drama social,drama social,3,2.0047836,4.8772435
dramatic biographical,dramatic biographical,3,2.6549697,3.7346537
epic drama set 4,epic drama set 4,3,2.1169753,5.555625
epic western,epic western,3,2.821988,5.15672
erotic musical,erotic musical,3,2.7621949,4.8457875
experimental short,experimental short,3,2.643245,4.6823254
family drama social,family drama social,3,2.2006505,5.419132
family social,family social,3,2.3959248,5.1422906
fantasy-children's,fantasy-child's,3,2.286059,5.1589723
historical biographical,historical biographical,3,2.6277525,3.692863
horror musical,horror musical,3,2.2022977,4.935558
legend romance musical,legend romance musical,3,2.1559982,5.4921966
musical b,musical b,3,2.561891,4.702824
musical biographical,musical biographical,3,2.656254,3.7593374
musical western,musical western,3,2.8042078,5.1314354
muslim social,muslim social,3,2.8363824,5.225635
nationalboard animated short,nationalboard animate short,3,2.7220802,5.331871
nationalboard stop motion animated short,nationalboard stop motion animate short,3,2.4663765,5.3998976
neo-noir,neo-noir,3,2.871066,5.0428867
nfb animated short,nfb animate short,3,2.4970357,5.3759627
propaganda short,propaganda short,3,1.6394356,4.725058
propaganda short animated short,propaganda short animate short,3,2.2218053,5.4274845
ravi teja,ravi teja,3,1.3790779,5.112391
revolutionary patriotic,revolutionary patriotic,3,2.6900496,4.725196
rock musical,rock musical,3,2.2209597,4.9397783
romance musical,romance musical,3,1.986756,4.882297
romance social,romance social,3,2.0486994,4.8907943
romantic drama social,romantic drama social,3,2.2422135,5.4490223
romantic musical,romantic musical,3,2.7552576,4.8359427
romantic muslim social,romantic muslim social,3,2.8646464,5.2287574
